Ad group report
1 October 2024 - 30 April 2025
Ad group status,Ad group,Campaign,Currency code,Default Max CPC,Max. CPV,Max. CPM,Target CPA,Target ROAS,Target CPM,Status,Status reasons,Ad group type,Currency code,TrueView avg. CPV,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Brand inclusions,Locations of interest,Conv. (platform comparable),Cost / Conv. (platform comparable),Conv. value / Cost (platform comparable),Viewable CTR,Avg. viewable CPM,Viewable impr.,Clicks,Conv. rate,Conv. value,Conv. value / cost,Conversions,Avg. CPC,Cost / conv.
Paused,French Awnings,S | Non Brand - Awnings - PS (tROAS: 450%),GBP, --, --, --, --,450%, --,Paused,ad group paused; unknown,Standard,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,tracking team australian awnings,S | Brand - SCL - PS (tCPA £8.50),GBP, --, --, --,8.50, --, --,Paused,ad group paused; unknown,Standard,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,australian awning co aberdeen,S | Brand - SCL - PS (tCPA £8.50),GBP, --, --, --,8.50, --, --,Paused,ad group paused; unknown,Standard,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,Conservatory Awnings,S | Non Brand - Awnings - PS (tROAS: 450%),GBP, --, --, --, --,450%, --,Paused,ad group paused; unknown,Standard,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,Acoustic Awnings,S | Non Brand - Awnings - PS (tROAS: 450%),GBP, --, --, --, --,450%, --,Paused,ad group paused; unknown,Standard,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,Glasgow Awnings #2,S | Non Brand - Awnings - PS (tROAS: 450%),GBP, --, --, --, --,450%, --,Paused,ad group paused; unknown,Standard,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,Affordable Awnings,S | Non Brand - Awnings - PS (tROAS: 450%),GBP, --, --, --, --,450%, --,Paused,ad group paused; unknown,Standard,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,Cellular,S | Gable Doors (tROAS: 250%),GBP, --, --, --, --,250%, --,Paused,ad group paused; unknown,Standard,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,Café Awnings,S | Non Brand - Awnings - PS (tROAS: 450%),GBP, --, --, --, --,450%, --,Paused,ad group paused; unknown,Standard,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,Vaulted,S | Gable Doors (tROAS: 250%),GBP, --, --, --, --,250%, --,Paused,ad group paused; unknown,Standard,GBP,0,0.00,1,0,0.00%,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Enabled,Remarketing Lists,DMG | Warm & RM - UK (tCPA £28),GBP, --, --, --,40.00, --, --,Eligible,unknown, --,GBP,0,17.41,"245,207","9,159",3.74%,0.47,4269.31,[],[],73.01,58.47,1.30, --,3.58,562,"3,195",1.79%,"11,098.50",2.60,164.15,1.34,26.01
Enabled,Triangular [Exact Match],S | Gable Doors (tROAS: 250%),GBP, --, --, --, --,250%, --,Eligible,unknown,Standard,GBP,0,807.57,124,30,24.19%,3.34,100.14,[],[],0.00,0,0.00, --,0,0,30,6.67%,260.00,2.60,2.00,3.34,50.07
Paused,the australian awning company edinburgh,S | Brand - SCL - PS (tCPA £8.50),GBP, --, --, --,8.50, --, --,Paused,ad group paused; unknown,Standard,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,Australian Awnings,S | Brand - SCL - PS (tCPA £8.50),GBP, --, --, --,8.50, --, --,Paused,ad group paused; unknown,Standard,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Enabled,Edinburgh Awnings,S | Non Brand - Awnings - PS (tROAS: 450%),GBP, --, --, --, --,450%, --,Eligible,unknown,Standard,GBP,0,608.57,"1,049",121,11.53%,5.28,638.39,[],[],0.00,0,0.00, --,0,0,121,10.74%,"2,790.00",4.37,13.00,5.28,49.11
